"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","Aluminum_Total","Aluminum_Total_VQ","Antimony_Total","Antimony_Total_VQ","Lead_Total","Lead_Total_VQ","Calcium_Total","Calcium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Potassium_Total","Potassium_Total_VQ","Silver_Total","Silver_Total_VQ","Iron_Total","Iron_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Turbidity_Field","Turbidity_Field_VQ","Purge_Volume","Purge_Volume_VQ","MicroLanduse_Category","MicroLanduse_Category_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Sulfate_Total","Sulfate_Total_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Chloride_Total","Chloride_Total_VQ","Color_true","Color_true_VQ","Fluoride_Total","Fluoride_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Depth_to_Water_from_mpe","Depth_to_Water_from_mpe_VQ","Coliform_Fecal_MF","Coliform_Fecal_MF_VQ","Coliform_Total_MF","Coliform_Total_MF_VQ","Thallium_Total","Thallium_Total_VQ","Copper_Total","Copper_Total_VQ","Chromium_Total","Chromium_Total_VQ","Barium_Total","Barium_Total_VQ","Zinc_Total","Zinc_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Cadmium_Total","Cadmium_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","Nickel_Total","Nickel_Total_VQ","Sodium_Total","Sodium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Arsenic_Total","Arsenic_Total_VQ"
"1",52794,"Z1-CA-12004",2018-03-07 13:06:00,"PRIMARY","WATER",54,NA,0.05,"U",0.18,"I",35.8,NA,0.2,"U",101,NA,1.8,NA,0.01,"U",58,"I",0.01,"U",7.7,NA,205,NA,1.12,NA,12.5,NA,21.09,NA,1.64,NA,94.5,NA,1,NA,0.024,NA,101,"A",204,"A",111,NA,0.5,"U",1,NA,1.7,NA,0.004,"U",2.3,NA,2.5,"U",0.079,"I",0.018,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",1.82,NA,0.4,"U",53,NA,5,"U",0.43,"I",0.02,"U",2.77,NA,0.21,"I",4,NA,3.5,"I",0.2,NA
"2",52795,"Z1-CA-12005",2018-02-26 11:49:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",39,NA,0.2,"U",99.4,NA,0.3,"U",0.01,"U",30,"U",0.01,"U",7.55,NA,197,NA,9.22,NA,102.9,NA,20.68,NA,0.42,NA,187,NA,4,NA,0.002,"U",88,NA,198,NA,106,NA,0.5,"U",0.3,NA,0.29,"I",1.6,NA,3.2,NA,2.5,"U",0.048,"I",0.02,NA,0.08,"U",21.55,NA,2,"UQ",7,"BQ",0.1,"U",0.46,"I",1.3,"I",1.83,NA,24,NA,0.15,"U",0.02,"U",0.45,NA,0.2,"U",1.8,"I",1,"U",0.15,"I"
"3",52796,"Z1-CA-12008",2018-03-13 13:14:00,"PRIMARY","WATER",6.1,"I",0.05,"U",0.05,"U",64.1,NA,0.2,"U",174,NA,0.65,"I",0.01,"U",1310,NA,0.01,"U",7.17,NA,366,NA,0.72,NA,8.1,NA,20.6,NA,5.34,NA,270,NA,2,NA,0.27,NA,160,NA,361,NA,200,NA,3.3,NA,6.3,"A",0.2,"U",0.004,"U",19,NA,45,"A",0.045,"I",0.067,NA,0.38,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.23,"I",0.4,"U",10.7,NA,8.5,"I",0.56,"I",0.02,"U",3.29,NA,0.2,"U",13,NA,25.9,NA,0.077,"I"
"4",52797,"Z1-CA-12009",2018-02-12 13:36:00,"PRIMARY","WATER",310,NA,0.05,"U",5.09,NA,42.5,NA,0.2,"U",198,NA,3.5,NA,0.01,"U",160,NA,0.012,"I",7.5,NA,344,NA,1.02,NA,11.6,NA,21.09,NA,8.13,NA,280,NA,1,NA,0.039,NA,162,NA,336,NA,175,"A",0.5,"U",7.3,"A",10,NA,0.005,"I",3.9,NA,3.1,"I",0.48,NA,0.04,NA,0.21,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.76,"I",1.7,NA,156,NA,837,NA,4.86,NA,0.02,"U",22.3,NA,0.76,"I",7.7,NA,4.9,NA,0.19,"I"
"5",52798,"Z1-CA-12012",2018-02-27 13:07:00,"PRIMARY","WATER",4.3,"I",0.05,"U",0.05,"U",26.2,NA,0.2,"U",116,NA,1.3,NA,0.01,"U",30,"I",0.01,"U",7.6,NA,224,NA,1.31,NA,14.8,NA,21.52,NA,0.45,NA,320,NA,1,NA,0.008,NA,104,"A",214,"A",111,NA,0.5,"U",0.35,NA,8.5,NA,0.004,"U",2.2,NA,2.5,"U",0.11,NA,0.009,NA,0.08,"U",NA,"O",2,"UQ",91,"BQ",0.1,"U",0.24,"I",0.4,"U",26.8,NA,5,"U",2.26,NA,0.02,"U",12.3,NA,0.2,"U",1.9,"I",4.3,NA,1.81,NA
"6",52799,"Z1-CA-12015",2018-02-28 13:43:00,"PRIMARY","WATER",6.7,"I",0.05,"U",0.063,"I",25.6,NA,0.2,"U",119,NA,1.2,NA,0.01,"U",39,"I",0.01,"U",7.44,NA,257,NA,0.1,NA,1.2,NA,22.93,NA,0.16,NA,70,NA,2,NA,0.13,NA,111,NA,269,NA,138,NA,0.92,"I",0.3,NA,3.6,NA,0.004,"U",15,NA,2.5,"U",0.26,NA,0.004,"I",0.13,"I",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.65,"I",0.4,"U",13.5,NA,5,"U",0.2,"I",0.02,"U",13.4,NA,0.2,"U",11.3,NA,1,"U",0.05,"U"
"7",52800,"Z1-CA-12025",2018-02-14 13:09:00,"PRIMARY","WATER",909,NA,0.05,"U",0.64,NA,53.7,NA,0.2,"U",239,NA,2.4,NA,0.01,"U",750,NA,0.033,"I",7.5,NA,308,NA,0.9,NA,10.1,NA,21.03,NA,10.5,NA,96.1,NA,2,NA,0.007,NA,148,NA,304,NA,164,"A",0.5,"U",65,NA,8.5,NA,0.007,"I",2.9,NA,2.5,"U",0.45,NA,0.041,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.79,"I",2,NA,155,NA,105,NA,9.18,NA,0.06,"I",25.5,NA,0.63,"I",6.9,NA,21.3,NA,1.26,NA
"8",52801,"Z1-CA-12028",2018-02-28 10:17:00,"PRIMARY","WATER",6.1,"I",0.05,"U",0.05,"U",24.5,NA,0.2,"U",119,NA,2.7,NA,0.01,"U",41,"I",0.01,"U",7.59,NA,275,NA,0.08,NA,1,NA,25.1,NA,0.48,NA,1380,NA,1,NA,0.068,NA,131,NA,263,NA,141,"A",0.5,"U",0.9,NA,8.3,NA,0.004,"U",3.1,NA,2.5,"U",0.25,NA,0.004,"I",0.12,"I",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",14.5,NA,5,"U",1.67,NA,0.02,"U",14.1,NA,0.2,"U",12,NA,1,"U",0.12,"I"
"9",52802,"Z1-CA-12029",2018-03-14 11:45:00,"PRIMARY","WATER",1870,NA,0.094,"I",6.42,NA,55,NA,0.2,"U",256,NA,0.38,"I",0.01,"U",5160,NA,0.063,NA,7.43,NA,246,NA,1.58,NA,17.4,NA,20.14,NA,42.1,NA,425,NA,1,NA,0.009,NA,126,NA,242,NA,126,NA,2.4,NA,36,"A",0.58,NA,0.004,"U",2.9,NA,6.5,NA,0.12,NA,0.092,NA,0.1,"I",NA,"O",9,"UQ",18,"BQ",0.1,"U",6.36,NA,33.1,NA,11.3,NA,3960,NA,4.76,NA,0.113,NA,28.7,NA,26.6,NA,2.1,NA,195,NA,2.4,NA
"10",52803,"Z1-CA-12030",2018-02-26 15:26:00,"PRIMARY","WATER",3.1,"I",0.05,"U",0.24,NA,33.9,NA,0.2,"U",104,NA,1,"I",0.01,"U",30,"U",0.012,"I",7.62,NA,204,NA,0.62,NA,7,NA,21.2,NA,0.26,NA,190,NA,4,NA,0.007,NA,89,NA,203,NA,115,NA,0.5,"U",0.25,NA,10,NA,0.004,"U",2.3,NA,2.5,"U",0.11,NA,0.1,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",1.62,NA,0.4,"U",15.6,NA,27,NA,0.47,"I",0.044,"I",4.64,NA,0.2,"U",1.6,"I",13.8,NA,0.14,"I"
"11",52804,"Z1-CA-12031",2018-02-21 14:03:00,"PRIMARY","WATER",3,"U",0.05,"U",0.078,"I",40.3,NA,0.2,"U",117,NA,0.55,"I",0.01,"U",300,NA,0.01,"U",7.53,NA,232,NA,0.08,NA,1,NA,22.46,NA,0.55,NA,198,NA,2,NA,0.054,NA,109,"A",226,"A",132,NA,0.5,"U",1.9,NA,4,NA,0.004,"U",3.4,NA,12,NA,0.16,"J",0.02,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.31,"I",0.4,"U",17.8,NA,21,NA,0.32,"I",0.02,"U",3.95,NA,0.2,"U",3.7,NA,4.2,NA,0.095,"I"
"12",52805,"Z1-CA-12036",2018-03-15 11:50:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",74.5,NA,0.2,"U",196,NA,0.37,"I",0.01,"U",360,NA,0.01,"U",7.12,NA,417,NA,0.31,NA,3.6,NA,22.44,NA,0.18,NA,200,NA,5,NA,0.098,NA,205,NA,423,NA,200,NA,2.7,NA,0.65,"A",0.62,NA,0.004,"U",9.5,NA,17,"A",0.035,"U",0.044,NA,0.28,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",11.9,NA,12,"I",0.15,"U",0.02,"U",2.46,NA,0.2,"U",11.3,NA,8.5,NA,0.12,"I"
"13",52806,"Z1-CA-12037",2018-03-07 12:03:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",30.4,NA,0.2,"U",105,NA,1.3,NA,0.01,"U",30,"U",0.01,"U",7.79,NA,209,NA,0.43,NA,5.3,NA,21.77,NA,0.19,NA,229.5,NA,1,NA,0.057,NA,103,NA,209,NA,104,NA,0.5,"U",0.15,NA,2.3,"A",0.004,"U",2.7,"A",2.5,"U",0.18,NA,0.003,"I",0.08,"U",20.79,NA,2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",46.3,NA,5.2,"I",1,NA,0.02,"U",7.02,NA,0.2,"U",2.9,NA,1,"U",0.063,"I"
"14",45083,"Z1-CA-12040",2018-02-27 11:19:00,"PRIMARY","WATER",3.7,"I",0.05,"U",0.05,"U",27.8,NA,0.2,"U",120,NA,2.3,NA,0.01,"U",30,"U",0.01,"U",7.69,NA,249,NA,2.24,NA,25.7,NA,22.01,NA,0.3,NA,160,NA,2,NA,0.022,NA,117,NA,240,NA,126,NA,0.5,"U",0.55,NA,7.6,NA,0.004,"I",2.5,NA,2.5,"U",0.11,NA,0.01,NA,0.08,"U",NA,"O",2,"UQ",60,"Q",0.1,"U",0.3,"I",0.4,"U",9.46,NA,12,"I",2.07,NA,0.02,"U",12.3,NA,0.2,"U",6,NA,1.3,"I",0.12,"I"
"15",20684,"Z1-CA-12041",2018-02-22 13:11:00,"PRIMARY","WATER",3,"U",0.05,"U",0.75,NA,32.7,NA,0.2,"U",125,NA,0.57,"I",0.01,"U",30,"U",0.01,"U",7.53,NA,235,NA,6.64,NA,74.6,NA,20.99,NA,0.39,NA,252,NA,2,NA,0.002,"U",113,NA,235,NA,140,NA,0.5,"U",0.1,"U",1.8,NA,0.3,NA,4.4,NA,2.5,"U",0.22,NA,0.023,NA,0.08,"U",NA,"O",2,"U",2,"U",0.1,"U",0.66,"I",1.2,"I",6,NA,26,NA,0.15,"U",0.02,"U",10.6,NA,0.2,"U",2.9,NA,1,"U",0.48,NA
"16",52809,"Z1-CA-12062",2018-02-28 14:38:00,"PRIMARY","WATER",3.7,"I",0.05,"U",0.05,"U",39,NA,0.2,"U",163,NA,2,NA,0.01,"U",400,NA,0.01,"U",7.16,NA,409,NA,0.12,NA,1.5,NA,23.69,NA,0.25,NA,70,NA,2,NA,0.09,NA,151,NA,409,NA,209,NA,1.6,NA,1.1,NA,2.1,NA,0.004,"U",38,NA,15,NA,0.3,NA,0.006,NA,0.11,"I",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",16.7,NA,5,"U",0.95,NA,0.02,"U",15.8,NA,0.2,"U",25.2,NA,1,"U",0.05,"U"
"17",52810,"Z1-CA-12063",2018-03-06 13:17:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",62.5,NA,0.2,"U",173,NA,1.2,"I",0.01,"U",1570,NA,0.01,"U",7.21,NA,345,NA,0.6,NA,6.8,NA,21.23,NA,0.28,NA,180,NA,2,NA,0.15,NA,168,"A",330,"A",178,NA,2.3,NA,7.4,NA,0.2,"U",0.004,"U",6.2,NA,59,NA,0.14,NA,0.007,NA,0.23,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",1.48,NA,0.4,"U",25.9,NA,156,NA,0.15,"U",0.02,"U",4.16,NA,0.2,"U",4.6,NA,9.6,NA,0.1,"I"
"18",52811,"Z1-CA-12076",2018-02-27 09:41:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",28.5,NA,0.2,"U",129,NA,2,NA,0.01,"U",30,"U",0.01,"U",7.69,NA,263,NA,0.16,NA,1.9,NA,23.71,NA,0.12,NA,6525,NA,2,NA,0.021,NA,125,NA,252,NA,131,"A",0.5,"U",0.25,NA,6.9,NA,0.004,"U",2.5,NA,2.5,"U",0.11,NA,0.005,NA,0.08,"U",NA,"O",2,"UQ",42,"Q",0.1,"U",1.91,NA,0.4,"U",5.67,NA,5,"U",2.64,NA,0.046,"I",14,NA,0.2,"U",4.9,NA,1.4,"I",1.42,NA
"19",52812,"Z1-CA-12078",2018-02-27 14:38:00,"PRIMARY","WATER",3.3,"I",0.05,"U",0.06,"I",23.1,NA,0.2,"U",80.8,NA,1.1,"I",0.01,"U",69,"I",0.01,"U",7.69,NA,168,NA,0.07,NA,0.8,NA,21.97,NA,0.16,NA,90,NA,2,NA,0.15,NA,79,NA,162,NA,87,NA,0.5,"U",0.35,NA,4,"A",0.004,"U",1.8,"A",2.5,"U",0.063,"I",0.033,NA,0.16,"I",167.37,NA,2,"UQ",2,"UQ",0.1,"U",0.56,"I",0.4,"U",27.9,NA,7.8,"I",0.73,NA,0.02,"U",5.58,NA,0.2,"U",2.7,NA,15.6,NA,0.24,NA
"20",52813,"Z1-CA-12082",2018-03-09 11:26:00,"PRIMARY","WATER",22,NA,0.05,"U",0.05,"U",48.8,NA,0.2,"U",125,NA,0.91,"I",0.01,"U",450,NA,0.01,"U",7.52,NA,246,NA,0.43,NA,4.9,NA,21.51,NA,1.93,NA,210,NA,1,NA,0.016,NA,109,NA,242,NA,139,NA,1.3,NA,1.8,NA,12,NA,0.004,"U",2.7,NA,18,NA,0.044,"I",0.12,NA,0.14,"I",17.43,NA,2,"U",2,"U",0.1,"U",0.65,"I",0.4,"U",20,NA,93,NA,0.15,"U",0.02,"U",0.79,NA,0.2,"U",2.7,NA,21.3,NA,0.092,"I"
"21",55359,"Z1-CA-13012",2019-02-28 14:26:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",21.1,NA,0.2,"U",91.6,NA,1.1,"I",0.01,"U",30,"U",0.01,"U",7.8,NA,175,NA,0.9,NA,10.4,NA,22.47,NA,0.29,NA,210,NA,1,NA,0.003,"I",75,NA,180,NA,87,NA,0.5,"U",0.15,NA,13,NA,0.004,"U",1.8,NA,2.5,"U",0.11,NA,0.007,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.4,"U",0.4,"U",9.9,NA,5,"U",4.7,NA,0.02,"U",9.47,NA,0.5,"U",1.7,"I",1.5,"I",2.06,NA
"22",55360,"Z1-CA-13020",2019-02-26 16:27:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",70,NA,0.2,"U",378,NA,4.5,NA,0.01,"U",30,"U",0.01,"U",7.42,NA,1010,NA,0.11,NA,1.3,NA,22.88,NA,0.29,NA,208,NA,2,NA,0.17,NA,110,NA,1030,NA,642,NA,0.78,"I",0.15,NA,310,NA,0.004,"U",75,NA,2.5,"UA",1,NA,0.005,"I",0.22,NA,NA,"O",2,"UQ",2,"UQ",0.11,"I",0.4,"U",0.4,"U",20.4,NA,5,"U",0.15,"U",0.02,"U",49.5,NA,0.5,"U",61.5,NA,1,"U",0.13,"I"
"23",55361,"Z1-CA-13022",2019-03-06 13:33:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",50.9,NA,0.29,"I",175,NA,0.42,"I",0.01,"U",30,"U",0.01,"U",7.07,NA,323,NA,4.62,NA,51.1,NA,20.29,NA,0.21,NA,165,NA,2,NA,0.002,"U",163,NA,329,NA,178,NA,0.5,"U",0.15,NA,3.4,NA,0.18,NA,4,NA,2.5,"U",0.14,NA,0.047,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.4,"U",1.5,"I",6,NA,60,NA,0.24,"I",0.02,"U",11.6,NA,0.5,"U",2.4,NA,1.6,"I",0.32,NA
"24",266,"Z1-CA-13029",2019-02-27 14:33:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",56.6,NA,0.29,"I",192,NA,0.5,"I",0.01,"U",30,"U",0.01,"U",7.16,NA,369,NA,2.06,NA,23.2,NA,21.07,NA,0.16,NA,NA,"O",2,NA,0.002,"U",179,NA,368,NA,194,NA,0.5,"U",0.1,"I",5.4,NA,0.29,NA,7.3,NA,2.5,"U",0.15,NA,0.046,NA,0.1,"I",NA,"O",2,"U",2,"U",0.1,"U",1.79,NA,1.2,"I",10.7,NA,5.6,"I",0.43,"I",0.02,"U",12.4,NA,0.5,"U",4,NA,1,"U",0.58,NA
"25",55362,"Z1-CA-13035",2019-02-13 13:36:00,"PRIMARY","WATER",453,NA,0.082,"I",1.01,NA,72.5,NA,0.2,"U",291,NA,0.61,"I",0.01,"U",1650,NA,0.106,NA,7.17,NA,267,NA,0.48,NA,5.2,NA,19.62,NA,34.1,NA,345,NA,1,NA,0.062,NA,134,NA,268,NA,142,NA,2,NA,16,NA,1.5,NA,0.007,"IG",3.9,NA,4.4,"IA",0.061,"I",0.081,NA,0.22,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",10.6,NA,3,NA,10.8,NA,85,NA,0.15,"U",0.02,"U",26.8,NA,7,NA,2.05,NA,85.1,NA,0.84,NA
"26",55363,"Z1-CA-13036",2019-02-20 10:58:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",30.5,NA,0.2,"U",130,NA,1.7,NA,0.01,"U",62,"I",0.01,"U",7.54,NA,254,NA,0.24,NA,2.8,NA,22.65,NA,0.18,NA,935,NA,2,NA,0.095,NA,130,NA,255,NA,138,"A",1.4,NA,0.15,NA,1.5,NA,0.004,"U",2.3,NA,3,"I",0.27,NA,0.004,"I",0.18,"I",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.4,"U",0.4,"U",42.9,NA,5,"U",0.6,"I",0.02,"U",12.9,NA,0.55,"I",3.9,NA,1,"U",0.14,"I"
"27",20675,"Z1-CA-13038",2019-02-19 14:57:00,"PRIMARY","WATER",1300,NA,0.05,"U",0.2,"U",86.8,NA,0.24,"I",387,NA,3.7,NA,0.04,NA,2180,NA,0.119,NA,6.3,NA,2127,NA,1.22,NA,13.7,NA,21.06,NA,3.24,NA,374,NA,1,NA,0.067,NA,177,NA,2140,NA,1120,NA,0.5,"I",3.4,"A",15,NA,0.2,NA,560,NA,66,NA,0.62,NA,0.003,"I",0.2,"I",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.55,"I",0.4,"U",435,NA,442,NA,4.1,NA,0.066,"I",41.3,NA,2.4,NA,254,NA,64.7,NA,0.32,NA
"28",55364,"Z1-CA-13039",2019-02-25 15:16:00,"PRIMARY","WATER",80,NA,0.05,"U",0.88,NA,37,NA,0.2,"U",145,NA,0.3,"I",0.01,"U",240,NA,0.034,"I",7.59,NA,170,NA,7.04,NA,79,NA,20.97,NA,5.25,NA,135,NA,1,NA,0.002,"U",85,NA,178,NA,97,NA,0.5,"U",2.3,"A",0.79,NA,0.35,NA,2.4,NA,2.5,"U",0.075,"I",0.03,NA,0.08,"U",NA,"O",2,"UQ",7,"BQ",0.1,"U",1.39,NA,1.4,"I",5.8,NA,37,NA,0.15,"U",0.069,"I",12.9,NA,0.5,"U",1.7,"I",7.3,NA,0.27,NA
"29",55365,"Z1-CA-13041",2019-02-28 12:13:00,"PRIMARY","WATER",15,"I",0.05,"U",0.2,"U",35.1,NA,0.2,"U",120,NA,0.42,"I",0.01,"U",48,"I",0.01,"U",7.16,NA,222,NA,0.59,NA,6.5,NA,19.78,NA,0.5,NA,NA,"O",1,NA,0.003,"I",107,"A",224,"A",122,"A",1.2,NA,0.6,"A",0.9,NA,0.051,"G",5.6,NA,2.5,"U",0.086,"I",0.39,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.4,"U",0.4,"U",23.3,NA,5,"U",0.35,"I",0.02,"U",7.85,NA,0.5,"U",2.6,NA,16,NA,0.51,NA
"30",5392,"Z1-CA-13044",2019-03-14 14:03:00,"PRIMARY","WATER",5,"U",0.05,"U",0.92,NA,27.5,NA,0.2,"U",117,NA,2,NA,0.01,"U",30,"U",0.01,"U",7.53,NA,238,NA,0.15,NA,1.7,NA,22.25,NA,0.17,NA,70,NA,2,NA,0.021,NA,112,NA,242,NA,128,NA,0.5,"U",0.15,NA,8.8,NA,0.004,"U",2.6,NA,2.5,"U",0.12,NA,0.013,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",3.71,NA,0.4,"U",12.9,NA,12,"I",1.8,NA,0.02,"U",11.6,NA,0.5,"U",5.1,NA,2.3,"I",0.31,NA
"31",38262,"Z1-CA-13045",2019-02-21 12:03:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",75.6,NA,0.2,"U",201,NA,0.63,"I",0.01,"U",1030,NA,0.01,"U",6.81,NA,357,NA,3.21,NA,36.9,NA,21.95,NA,0.89,NA,250,NA,1,NA,0.021,NA,182,NA,370,NA,196,NA,1.4,NA,6.5,NA,1,NA,0.009,"IG",6,NA,14,NA,0.048,"I",0.083,NA,0.11,"I",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.4,"U",0.4,"U",24.7,NA,86,NA,0.52,"I",0.02,"U",2.91,NA,0.5,"U",3,NA,50.8,NA,1.23,NA
"32",55366,"Z1-CA-13052",2019-03-14 17:35:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",41.5,NA,0.2,"U",125,NA,0.53,"I",0.01,"U",250,NA,0.01,"U",7.45,NA,251,NA,0.56,NA,6.6,NA,23.84,NA,0.19,NA,70,NA,2,NA,0.033,NA,112,NA,254,NA,138,NA,0.5,"U",1,NA,8,NA,0.004,"U",6.8,NA,8.5,"A",0.21,NA,0.014,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.68,"I",0.4,"U",15.7,NA,9.9,"I",1.18,NA,0.02,"U",5.12,NA,0.5,"U",5.3,NA,3.9,"I",1.5,NA
"33",55367,"Z1-CA-13056",2019-02-19 13:32:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",12,NA,0.2,"U",58,NA,7,NA,0.01,"U",30,"U",0.01,"U",8.14,NA,350,NA,0.39,NA,4.8,NA,25.79,NA,0.1,NA,9440,NA,1,NA,0.33,NA,152,NA,355,NA,190,"A",0.5,"U",0.1,"U",7.2,NA,0.004,"U",15,NA,2.5,"U",0.54,NA,0.006,NA,0.42,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.4,"U",0.4,"U",2.33,NA,2,"U",0.57,"I",0.02,"U",6.8,NA,0.5,"U",52,NA,0.92,NA,0.81,NA
"34",5387,"Z1-CA-13060",2019-02-19 11:56:00,"PRIMARY","WATER",5,"U",0.078,"I",0.2,"U",24.7,NA,0.75,"I",113,NA,0.69,"I",0.01,"U",30,"U",0.01,"U",7.8,NA,216,NA,0.62,NA,7.2,NA,22.35,NA,0.31,NA,90,NA,1,NA,0.002,"U",101,NA,216,NA,109,"A",0.5,"U",0.15,NA,8.3,"A",0.013,"G",2.3,"A",2.5,"U",0.12,NA,0.01,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.4,"U",0.4,"U",7.35,NA,3.3,"I",3.93,NA,0.02,"U",12.5,NA,0.5,"U",2.1,NA,0.1,"U",1.81,NA
"35",55368,"Z1-CA-13064",2019-02-27 13:18:00,"PRIMARY","WATER",12,"I",0.05,"U",0.22,"I",36.1,NA,0.2,"U",121,NA,0.47,"I",0.01,"U",110,"I",0.01,"U",7.49,NA,238,NA,5.11,NA,56.8,NA,20.6,NA,0.6,NA,208,NA,1,NA,0.002,"U",110,NA,238,NA,126,NA,0.65,"I",0.35,"A",6,NA,0.21,NA,4.7,NA,2.5,"U",0.17,NA,0.014,NA,0.08,"U",NA,"O",2,"U",2,"U",0.1,"U",0.4,"U",0.9,"I",5.2,NA,42,NA,0.44,"I",0.02,"U",7.54,NA,0.5,"U",2.8,NA,1,"U",0.6,NA
"36",55369,"Z1-CA-13066",2019-02-22 10:28:00,"PRIMARY","WATER",208,NA,0.05,"U",0.98,NA,49.8,NA,0.2,"U",169,NA,0.68,"I",0.01,"U",120,"I",0.01,"U",7.42,NA,286,NA,1.49,NA,16.8,NA,21.32,NA,9.21,NA,315,NA,2,NA,0.061,NA,140,NA,293,NA,169,NA,0.77,"I",5,NA,6.7,NA,0.005,"IG",2.9,NA,3,"I",0.26,NA,0.026,NA,1.8,NA,NA,"O",2,"U",2,"U",0.1,"U",1.49,NA,0.4,"U",35.5,NA,152,NA,21.6,NA,0.036,"I",10.8,NA,0.5,"U",3.6,NA,5.7,NA,4.54,NA
"37",55370,"Z1-CA-13067",2019-02-25 13:36:00,"PRIMARY","WATER",5.8,"I",0.05,"U",0.21,"I",42.1,NA,0.33,"I",124,NA,0.3,"U",0.01,"U",30,"U",0.01,"U",7.4,NA,223,NA,5.32,NA,59.7,NA,20.98,NA,0.78,NA,210,NA,1,NA,0.002,"U",109,"A",236,"A",124,"A",0.5,"U",0.35,NA,1.7,NA,0.96,NA,3.6,NA,2.5,"U",0.064,"I",0.024,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.63,"I",1.4,"I",6.6,NA,5,"U",0.28,"I",0.02,"U",4.57,NA,0.5,"U",2,"I",1,"U",0.26,NA
