"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","Aluminum_Total","Aluminum_Total_VQ","Antimony_Total","Antimony_Total_VQ","Lead_Total","Lead_Total_VQ","Calcium_Total","Calcium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Potassium_Total","Potassium_Total_VQ","Silver_Total","Silver_Total_VQ","Iron_Total","Iron_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Turbidity_Field","Turbidity_Field_VQ","Purge_Volume","Purge_Volume_VQ","MicroLanduse_Category","MicroLanduse_Category_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Sulfate_Total","Sulfate_Total_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Chloride_Total","Chloride_Total_VQ","Color_true","Color_true_VQ","Fluoride_Total","Fluoride_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Depth_to_Water_from_mpe","Depth_to_Water_from_mpe_VQ","Coliform_Fecal_MF","Coliform_Fecal_MF_VQ","Coliform_Total_MF","Coliform_Total_MF_VQ","Thallium_Total","Thallium_Total_VQ","Copper_Total","Copper_Total_VQ","Chromium_Total","Chromium_Total_VQ","Barium_Total","Barium_Total_VQ","Zinc_Total","Zinc_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Cadmium_Total","Cadmium_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","Nickel_Total","Nickel_Total_VQ","Sodium_Total","Sodium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Arsenic_Total","Arsenic_Total_VQ"
"372",0,NA,2019-02-28 16:00:00,"FIELD BLANK","WATER",5,"U",0.05,"U",0.2,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.4,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.5,"U",0.5,"U",1,"U",0.05,"U"
"373",0,NA,2019-03-14 17:10:00,"FIELD BLANK","WATER",5,"U",0.05,"U",0.2,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.4,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.5,"U",0.5,"U",1,"U",0.05,"U"
"374",0,NA,2019-02-20 10:40:00,"FIELD BLANK","WATER",5,"U",0.05,"U",0.2,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.4,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.5,"U",0.5,"U",1,"U",0.05,"U"
"375",0,NA,2019-02-25 14:38:00,"FIELD BLANK","WATER",5,"U",0.05,"U",0.2,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.006,"I",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.4,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.5,"U",0.5,"U",1,"U",0.05,"U"
"376",0,NA,2018-02-12 12:00:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2.6,"I",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",8,"JQ",0.1,"U",0.2,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"377",0,NA,2018-03-20 10:28:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2.6,"I",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",0.2,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"378",0,NA,2018-03-07 14:25:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"I",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"379",0,NA,2018-02-28 09:36:00,"EQUIPMENT BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"380",0,NA,2018-02-21 11:30:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"381",0,NA,2018-02-13 13:10:00,"EQUIPMENT BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",34,"I",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.54,"I",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",7,"Q",0.1,"U",0.2,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
